,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,20,3,11200,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,0,6,6,2,0,3,4,1,3,3,3,4,906,5,0,134,1040,1,0,1,4,0,0,1040,1,0,1,0,3,1,3,6,0,5,2,1,4,4,2,0,0,0,0,0,0,0,2,2008,8,4,11.77143616
11,12,60,3,11924,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,0,14,15,3,286,0,4,2,0,3,3,2,998,5,0,177,1175,1,0,1,4,1142,0,2324,1,0,3,0,4,1,0,6,2,3,0,3,4,4,2,147,21,0,0,0,0,0,7,2006,6,5,12.7512997
12,13,20,3,12968,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,0,6,10,2,0,3,4,1,3,3,3,0,737,5,0,175,912,1,4,1,4,0,0,912,1,0,1,0,2,1,3,6,0,5,2,1,4,4,2,140,0,0,0,176,0,0,9,2008,8,4,11.87756858
13,14,20,3,10652,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,0,12,13,3,306,2,4,2,2,3,0,5,0,5,0,1494,1494,1,0,1,4,0,0,1494,0,0,2,0,3,1,2,6,1,1,1,3,4,4,2,160,33,0,0,0,0,0,8,2007,6,5,12.54075757
14,15,20,3,10920,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,0,8,8,1,212,3,4,1,3,3,3,1,733,5,0,520,1253,1,4,1,4,0,0,1253,1,0,1,1,2,1,3,6,1,1,1,1,4,4,2,0,213,176,0,0,0,0,5,2008,8,4,11.96400108
15,16,45,4,6120,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,0,13,14,2,0,3,4,0,3,3,3,5,0,5,0,832,832,1,0,1,0,0,0,854,0,0,1,0,2,1,3,6,0,5,2,2,4,4,2,48,112,0,0,0,0,0,7,2007,8,4,11.7905572
16,17,20,3,11241,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,0,13,14,1,180,3,4,1,3,3,3,0,578,5,0,426,1004,1,0,1,4,0,0,1004,1,0,1,0,2,1,3,6,1,1,0,2,4,4,2,0,0,0,0,0,0,700,3,2010,8,4,11.91170158
17,18,90,3,10791,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,0,8,8,2,0,3,4,3,3,3,3,5,0,5,0,0,0,1,4,1,4,0,0,1296,0,0,2,0,2,2,3,6,0,4,2,2,4,4,2,0,0,0,0,0,0,500,10,2006,8,4,11.40756495
18,19,20,3,13695,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,0,12,13,2,0,3,4,2,3,3,3,2,646,5,0,468,1114,1,0,1,4,0,0,1114,1,0,1,1,3,1,2,6,0,5,2,2,4,4,2,0,102,0,0,0,0,0,6,2008,8,4,11.97665948
19,20,20,3,7560,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,0,3,10,2,0,3,4,1,3,3,3,3,504,5,0,525,1029,1,4,1,4,0,0,1339,0,0,1,0,3,1,3,2,0,1,2,1,4,4,2,0,0,0,0,0,0,0,5,2009,0,0,11.84222921
20,21,60,3,14215,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,0,12,13,1,380,2,4,2,0,3,0,5,0,5,0,1158,1158,1,0,1,4,1218,0,2376,0,0,3,1,4,1,2,6,1,3,1,3,4,4,2,240,154,0,0,0,0,0,11,2006,6,5,12.69250311
21,22,45,4,7449,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,0,13,14,2,0,3,4,2,3,3,3,5,0,5,0,637,637,1,0,1,1,0,0,1108,0,0,1,0,3,1,2,6,1,1,2,1,4,4,0,0,0,205,0,0,0,0,6,2007,8,4,11.84510278
22,23,20,3,9742,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,0,12,13,1,281,2,4,2,2,3,3,5,0,5,0,1777,1777,1,0,1,4,0,0,1795,0,0,2,0,3,1,2,6,1,1,1,2,4,4,2,171,159,0,0,0,0,0,9,2008,8,4,12.34583459
23,24,120,4,4224,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,0,5,5,2,0,3,4,2,2,3,3,2,840,5,0,200,1040,1,4,1,4,0,0,1060,1,0,1,0,3,1,3,6,1,1,2,2,4,4,2,100,110,0,0,0,0,0,6,2007,8,4,11.7745202
24,25,20,3,8246,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,0,9,10,2,0,3,2,1,3,3,2,4,188,0,668,204,1060,1,0,1,4,0,0,1060,1,0,1,0,3,1,2,6,1,1,2,1,4,4,2,406,90,0,0,0,0,0,5,2010,8,4,11.94470788
25,26,20,3,14230,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,0,12,13,3,640,2,4,2,2,3,3,5,0,5,0,1566,1566,1,0,1,4,0,0,1600,0,0,2,0,3,1,2,6,1,1,1,3,4,4,2,0,56,0,0,0,0,0,7,2009,8,4,12.45410391
26,27,20,3,7200,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,0,13,14,2,0,3,4,1,3,3,2,1,234,4,486,180,900,1,4,1,4,0,0,900,0,1,1,0,3,1,2,6,0,5,2,2,4,4,2,222,32,0,0,0,0,0,5,2010,8,4,11.81154748
27,28,20,3,11478,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,0,12,13,3,200,2,4,2,0,3,3,2,1218,5,0,486,1704,1,0,1,4,0,0,1704,1,0,2,0,3,1,2,6,1,1,1,3,4,4,2,0,50,0,0,0,0,0,5,2010,8,4,12.63134038
28,29,20,3,16321,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,0,8,8,2,0,3,4,1,3,3,1,1,1277,5,0,207,1484,1,4,1,4,0,0,1600,1,0,1,0,2,1,3,6,2,1,1,1,4,4,2,288,258,0,0,0,0,0,12,2006,8,4,12.24288662
29,30,30,4,6324,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,0,8,8,2,0,3,4,0,3,3,3,5,0,5,0,520,520,1,1,0,4,0,0,520,0,0,1,0,1,1,1,6,0,5,2,1,1,4,2,49,0,87,0,0,0,0,5,2008,8,4,11.13458902
30,31,70,0,8500,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,0,3,3,2,0,3,1,0,3,3,3,5,0,5,0,649,649,1,4,0,4,668,0,1317,0,0,1,0,3,1,3,6,0,5,2,1,4,1,0,0,54,172,0,0,0,0,7,2008,8,4,10.59663473
31,32,20,3,8544,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,0,6,6,2,0,3,4,1,3,3,3,5,0,5,0,1228,1228,1,2,1,4,0,0,1228,0,0,1,1,3,1,2,6,0,1,2,1,4,4,2,0,65,0,0,0,0,0,6,2008,8,4,11.91404782
32,33,20,3,11049,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,0,12,13,2,0,2,4,2,0,3,0,5,0,5,0,1234,1234,1,0,1,4,0,0,1234,0,0,2,0,3,1,2,6,0,1,1,2,4,4,2,0,30,0,0,0,0,0,1,2008,8,4,12.10015642
33,34,20,3,10552,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,0,3,3,2,0,3,4,1,3,3,3,4,1018,5,0,380,1398,1,2,1,4,0,0,1700,0,1,1,1,4,1,2,6,1,1,1,2,4,4,2,0,38,0,0,0,0,0,4,2010,8,4,12.01672647
34,35,120,3,7313,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,0,8,8,1,246,0,4,2,0,3,3,2,1153,5,0,408,1561,1,0,1,4,0,0,1561,1,0,2,0,2,1,0,6,1,1,0,2,4,4,2,203,47,0,0,0,0,0,8,2007,8,4,12.53357621
35,36,60,3,13418,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,0,12,13,3,132,2,4,2,0,3,0,5,0,5,0,1117,1117,1,0,1,4,1320,0,2452,0,0,3,1,4,1,2,6,1,3,0,3,4,4,2,113,32,0,0,0,0,0,9,2006,8,4,12.64109656
36,37,20,3,10859,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,0,12,13,2,0,3,4,2,2,3,3,5,0,5,0,1097,1097,1,0,1,4,0,0,1097,0,0,1,1,3,1,3,6,0,1,2,2,4,4,2,392,64,0,0,0,0,0,6,2009,8,4,11.88448902
37,38,20,3,8532,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,0,13,14,1,650,3,4,1,3,3,3,4,1213,5,0,84,1297,1,2,1,4,0,0,1297,0,1,1,0,3,1,3,6,1,1,0,2,4,4,2,0,0,0,0,0,0,0,10,2009,8,4,11.9381932
38,39,20,3,7922,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,0,12,13,2,0,3,2,1,3,3,3,2,731,5,0,326,1057,1,4,1,4,0,0,1057,1,0,1,0,3,1,2,6,0,5,2,1,4,4,2,0,52,0,0,0,0,0,1,2010,8,0,11.59910316
39,40,90,3,6040,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,0,0,10,2,0,3,4,2,3,3,3,5,0,5,0,0,0,1,4,0,2,0,0,1152,0,0,2,0,2,2,1,6,0,1,2,0,4,4,0,0,0,0,0,0,0,0,6,2008,8,1,11.31447453
40,41,20,3,8658,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,0,13,14,1,101,3,4,1,3,3,3,4,643,5,0,445,1088,1,0,1,4,0,0,1324,0,0,2,0,3,1,3,6,1,1,1,2,4,4,2,0,138,0,0,0,0,0,12,2006,8,0,11.98292909
41,42,20,3,16905,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,0,12,13,2,0,3,2,1,3,3,1,1,967,5,0,383,1350,1,2,1,4,0,0,1328,0,1,1,1,2,1,3,6,2,1,1,1,4,4,1,0,104,0,0,0,0,0,7,2007,8,4,12.04355372
42,43,85,3,9180,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,0,6,6,2,0,3,4,1,2,3,0,0,747,3,93,0,840,1,2,1,4,0,0,884,1,0,1,0,2,1,2,6,0,1,1,2,4,2,2,240,0,0,0,0,0,0,12,2007,8,4,11.87756858
43,44,20,3,9200,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,0,12,13,2,0,3,4,1,2,3,0,3,280,1,491,167,938,1,4,1,4,0,0,938,1,0,1,0,3,1,3,6,0,5,2,1,4,4,2,145,0,0,0,0,0,0,7,2008,8,4,11.77721096
44,45,20,3,7945,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,0,3,14,2,0,3,4,1,3,3,3,0,179,1,506,465,1150,1,0,1,0,0,0,1150,1,0,1,0,3,1,3,6,0,1,1,1,4,4,2,0,0,0,0,0,0,0,5,2006,8,4,11.85651517
45,46,120,3,7658,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,0,8,8,1,412,0,4,2,0,3,3,2,456,5,0,1296,1752,1,0,1,4,0,0,1752,1,0,2,0,2,1,0,6,1,1,1,2,4,4,2,196,82,0,0,0,0,0,2,2010,8,4,12.67576373
46,47,50,3,12822,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,0,12,13,2,0,2,4,2,0,3,3,2,1351,5,0,83,1434,1,0,1,4,631,0,2149,1,0,1,1,1,1,2,6,1,1,1,2,4,4,2,168,43,0,0,198,0,0,8,2009,8,0,12.38708501
47,48,20,1,11096,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,0,12,13,2,0,2,4,2,2,3,0,2,24,5,0,1632,1656,1,0,1,4,0,0,1656,0,0,2,0,3,1,2,6,0,1,1,3,4,4,2,0,146,0,0,0,0,0,7,2007,8,4,12.42801548
48,49,190,4,4456,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,0,8,8,2,0,3,4,0,3,3,3,5,0,5,0,736,736,1,2,1,4,716,0,1452,0,0,2,0,2,3,3,6,0,1,2,0,4,4,0,0,0,102,0,0,0,0,6,2009,6,5,11.6351431
49,50,20,3,7742,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,0,6,6,2,0,3,4,1,3,3,3,1,763,5,0,192,955,1,0,1,4,0,0,955,1,0,1,0,3,1,3,6,0,1,2,1,4,4,2,0,0,0,0,0,0,0,1,2007,8,4,11.75194237
50,51,60,3,13869,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,0,12,13,2,0,3,4,2,2,3,0,2,182,5,0,612,794,1,2,1,4,676,0,1470,0,1,2,0,3,1,3,6,0,1,0,2,4,4,2,0,75,0,0,0,0,0,7,2007,8,4,12.08390501
51,52,50,4,6240,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,0,13,14,2,0,3,4,2,3,3,3,5,0,5,0,816,816,1,4,1,4,0,360,1176,0,0,1,0,3,1,3,6,1,5,2,2,4,4,2,112,0,0,0,0,0,400,9,2006,8,4,11.6483301
52,53,90,4,8472,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,0,13,14,2,0,1,4,1,2,3,1,3,104,2,712,0,816,1,4,0,4,0,0,816,1,0,1,0,2,1,3,6,0,4,2,2,4,4,2,106,0,0,0,0,0,0,5,2010,8,4,11.60823564
53,54,20,3,50271,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,6,14,15,2,0,2,4,1,0,3,1,2,1810,5,0,32,1842,1,2,1,4,0,0,1842,2,0,0,1,0,1,2,6,1,1,0,3,4,4,2,857,72,0,0,0,0,0,11,2006,8,4,12.86099861
54,55,80,3,7134,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,0,8,8,2,0,3,4,1,3,3,3,0,384,5,0,0,384,1,4,1,4,0,0,1360,0,0,1,0,3,1,3,2,1,5,2,2,4,4,2,0,50,0,0,0,0,0,2,2007,8,4,11.77528973
55,56,20,3,10175,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,0,6,10,1,272,3,4,1,3,3,3,1,490,5,0,935,1425,1,2,1,4,0,0,1425,0,0,2,0,3,1,3,6,1,1,1,2,4,4,2,0,0,0,407,0,0,0,7,2008,8,4,12.10348606
56,57,160,1,2645,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,0,8,8,1,456,2,4,2,2,3,3,2,649,5,0,321,970,1,0,1,4,756,0,1739,1,0,2,1,3,1,2,6,0,1,0,2,4,4,2,115,0,0,0,0,0,0,8,2009,8,0,12.05815252
57,58,60,3,11645,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,0,12,13,2,0,2,4,2,2,3,3,5,0,5,0,860,860,1,0,1,4,860,0,1720,0,0,2,1,3,1,2,6,0,1,1,2,4,4,2,0,70,0,0,0,0,0,8,2006,8,4,12.18841771
58,59,60,3,13682,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,0,12,13,1,1031,0,4,2,0,3,1,5,0,5,0,1410,1410,1,0,1,4,1519,0,2945,0,0,3,1,3,1,2,6,1,3,0,3,4,4,2,192,0,37,0,0,0,0,10,2006,6,5,12.99175343
59,60,20,3,7200,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,0,6,6,2,0,3,4,1,3,3,0,0,632,5,0,148,780,1,0,1,4,0,0,780,0,0,1,0,2,1,3,6,0,5,2,1,4,4,2,196,0,0,0,0,0,0,1,2008,8,4,11.7352687
60,61,20,3,13072,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,0,12,13,2,0,3,4,2,2,3,3,0,941,5,0,217,1158,1,0,1,4,0,0,1158,1,0,1,1,3,1,2,6,0,5,2,2,4,4,2,0,50,0,0,0,0,0,5,2006,6,5,11.97035031
61,62,75,4,7200,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,0,8,8,2,0,3,4,0,3,0,3,5,0,5,0,530,530,1,4,0,4,530,0,1111,0,0,1,0,3,1,1,6,0,5,2,1,4,4,0,0,0,144,0,0,0,0,3,2007,8,4,11.5228758
62,63,120,3,6442,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,0,12,13,3,178,2,4,2,2,1,2,2,24,5,0,1346,1370,1,0,1,4,0,0,1370,0,0,2,0,2,1,2,6,1,1,1,2,4,4,2,120,49,0,0,0,0,0,10,2007,8,4,12.21849517
63,64,70,4,10300,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,0,11,12,2,0,3,4,0,3,3,3,5,0,5,0,576,576,1,2,1,4,808,0,1710,0,0,2,0,3,1,3,6,0,5,2,2,4,4,2,12,11,64,0,0,0,0,4,2010,8,4,11.8493977
64,65,60,3,9375,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,0,12,13,1,573,3,4,2,2,3,3,2,739,5,0,318,1057,1,0,1,4,977,0,2034,1,0,2,1,3,1,2,6,0,1,1,2,4,4,2,576,36,0,0,0,0,0,2,2009,8,4,12.29910751
65,66,60,3,9591,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,0,12,13,1,344,2,4,2,0,3,0,5,0,5,0,1143,1143,1,0,1,4,1330,0,2473,0,0,2,1,4,1,2,6,1,3,1,3,4,4,2,192,151,0,0,0,0,0,10,2007,8,4,12.66665705
66,67,20,3,19900,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,0,9,10,1,287,3,4,1,2,3,1,2,912,5,0,1035,1947,1,4,1,4,0,0,2207,1,0,2,0,3,1,3,2,1,1,1,2,4,4,2,301,0,0,0,0,0,0,7,2010,8,4,12.10071213
67,68,20,3,10665,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,0,12,13,1,167,2,4,2,2,3,0,2,1013,5,0,440,1453,1,0,1,4,0,0,1479,1,0,2,0,3,1,2,6,0,1,1,2,4,4,2,144,29,0,0,0,0,0,6,2007,8,4,12.32829028
68,69,30,4,4608,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,0,8,8,2,0,3,2,1,3,3,3,5,0,5,0,747,747,1,4,1,4,0,0,747,0,0,1,0,2,1,3,6,0,1,2,1,4,4,2,0,0,0,0,0,0,0,6,2010,8,4,11.28978191
69,70,50,3,15593,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,0,3,0,2,0,2,4,1,3,3,3,1,603,5,0,701,1304,2,4,1,4,983,0,2287,0,0,2,0,3,1,3,6,1,1,0,2,4,4,2,0,21,114,0,0,0,0,7,2006,8,4,12.32385568
70,71,20,3,13651,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,0,9,10,1,1115,3,2,1,2,3,1,0,1880,5,0,343,2223,1,0,1,4,0,0,2223,1,0,2,0,3,1,3,6,2,1,0,2,4,4,2,300,0,0,0,0,0,0,2,2007,8,4,12.4049235
71,72,20,3,7599,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,0,6,10,2,0,3,4,1,3,3,3,0,565,5,0,280,845,1,4,1,4,0,0,845,1,0,1,0,2,1,3,6,0,5,2,2,4,4,2,0,0,0,0,0,0,0,6,2007,8,4,11.77143616
72,73,60,3,10141,1,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,0,12,13,1,40,3,4,2,2,3,3,5,0,5,0,832,832,1,2,1,4,833,0,1718,0,0,2,1,3,1,3,6,1,1,0,2,4,4,2,0,94,0,0,291,0,0,12,2009,8,4,12.1281111
73,74,20,3,10200,1,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,0,13,14,1,104,3,4,1,3,3,3,0,320,1,362,404,1086,1,2,1,4,0,0,1086,1,0,1,0,3,1,3,6,0,1,2,2,4,4,2,0,0,0,0,0,0,0,5,2010,8,4,11.88379913
74,75,50,4,5790,1,3,3,0,0,0,17,2,2,0,5,3,6,1915,1950,2,0,12,13,2,0,2,2,1,1,3,3,5,0,5,0,840,840,1,2,0,4,765,0,1605,0,0,2,0,3,2,3,6,0,5,2,1,4,4,2,0,0,202,0,0,0,0,5,2010,8,4,11.58431546
75,76,180,4,1596,1,3,3,0,4,0,10,2,2,3,7,4,5,1973,1973,1,0,5,5,2,0,3,4,1,2,3,1,2,462,5,0,0,462,1,4,1,4,462,0,988,1,0,1,0,2,1,3,6,0,3,2,1,4,4,2,120,101,0,0,0,0,0,11,2009,8,4,11.41861479
76,77,20,3,8475,1,0,3,0,4,0,12,2,2,0,2,4,7,1956,1956,1,0,12,13,2,0,3,4,1,3,3,3,0,228,5,0,724,952,1,0,1,0,0,0,952,0,0,1,0,2,1,3,6,0,5,2,1,4,4,2,0,0,0,0,0,0,0,4,2008,8,4,11.81857024
77,78,50,4,8635,1,3,3,0,4,0,3,2,2,0,0,5,5,1948,2001,1,0,13,14,2,0,3,4,1,3,3,3,1,336,2,41,295,672,1,4,1,4,213,0,1285,1,0,1,0,2,1,3,2,0,5,2,1,4,4,2,0,0,0,0,0,0,0,1,2008,8,4,11.75194237
78,79,90,3,10778,1,3,3,0,4,0,19,2,2,2,2,4,5,1968,1968,3,0,6,6,2,0,3,4,1,3,3,3,5,0,5,0,1768,1768,1,4,0,4,0,0,1768,0,0,2,0,4,2,3,6,0,1,2,0,4,4,2,0,0,0,0,0,0,0,4,2010,8,4,11.82407989
79,80,50,4,10440,1,3,3,0,0,0,17,2,2,0,5,5,6,1910,1981,1,0,13,14,2,0,3,4,2,3,3,3,5,0,5,0,440,440,1,2,1,4,548,0,1230,0,0,1,1,2,1,3,6,0,5,2,2,4,4,2,74,0,128,0,0,0,0,5,2009,8,4,11.60823564
80,81,60,3,13000,1,3,3,0,0,0,12,2,2,0,5,6,6,1968,1968,1,0,12,13,1,576,3,2,1,2,3,3,4,448,5,0,448,896,1,4,1,4,960,0,2142,0,0,2,1,4,1,2,6,1,1,0,1,4,4,2,0,72,0,0,252,0,0,6,2009,8,4,12.17303279
81,82,120,4,4500,1,3,3,0,2,0,11,2,2,4,2,6,5,1998,1998,3,0,12,13,1,443,3,2,2,0,1,3,2,1201,5,0,36,1237,1,0,1,4,0,0,1337,1,0,2,0,2,1,3,6,0,1,0,2,4,4,2,0,199,0,0,0,0,0,3,2006,8,4,11.94145585
82,83,20,3,10206,1,3,3,0,4,0,21,2,2,0,2,8,5,2007,2007,1,0,12,13,3,468,3,4,2,2,3,3,2,33,5,0,1530,1563,1,0,1,4,0,0,1563,0,0,2,0,3,1,2,6,1,1,1,3,4,4,2,144,99,0,0,0,0,0,10,2008,8,4,12.40901349
83,84,20,3,8892,1,0,3,0,4,0,12,2,2,0,2,5,5,1960,1960,1,0,8,8,0,66,3,4,1,3,3,3,5,0,5,0,1065,1065,1,2,1,4,0,0,1065,0,0,1,1,3,1,3,6,0,5,2,2,4,4,2,74,0,0,0,0,0,0,7,2007,0,4,11.74799759
